recipe_index,drink_name,ingredients_list, sugar_included,alcohol_content,no_of_liquid_ingredients,no_of_ingredients,fruit,juice,flavour,total_quantity_in_CL,preparations
0-recipe,Ti'punch,white rum;syrup;lime,FALSE,high,2,3,TRUE,FALSE,sweet,8,"Wash a lime, remove top and bottom, and thinly slice into half rings. Add lime pieces to glass and crush with the flat end of a barspoon.;Add rum and cane syrup, top with broken ice, and muddle together. Add a short straw, and serve.}}"
1-recipe,Exotic Cocktail passion fruit,Lemonade;Blue curacao;passion fruit syrup;lemon juice;ice cube,FALSE,low,4,5,FALSE,TRUE,sweet,3655,"In a shaker, combine syrup curacao syrup, passion fruit and lemon juice.;Shake well and pour the mixture into a container.;Stir liter of lemonade and mix well.;Add 5 ice cubes and serve.}}"
2-recipe,Builder,cucumbers;lemon;sugar;ice cube,TRUE,none,0,4,TRUE,FALSE,sweet,0,"Mix a cucumber in a centrifuge, put the lemon juice, the sugar and the icebergs.;Serve in a glass decorated of a lemon slice}}"
3-recipe,Raspberry cocktail,raspberry;cane sugar;kirsch;Lemonade;lemon;Cremant,TRUE,high,4,6,TRUE,FALSE,sweet,450,"The day before: put the raspberries, lemon slices, 3 glasses of cane sugar syrup, kirsch and half lemonade in a large container and marinate in the fridge.;Put the rest of lemonade and bottles of sparkling wine in the fridge.;Just before serving:;Added to the preparation the day before the rest of lemonade and bottles of Cremant. Taste and add sugar cane if necessary because certain sound more bitter than other Cremants.}}"
4-recipe,Cocktail for lovers,Orange juice;cointreau;cognac;grenadine;champagne;raspberry,FALSE,high,5,6,TRUE,TRUE,sweet,53,Mix all ingredients (in advance if possible put in the fridge) with a spoon or shaker.;Add just before serving raspberries (so they keep their consistency) or one hour before if you require well soaked.}}
5-recipe,Coconut kiss,pineapple juice;orange juice;coconut;sour cream,FALSE,none,4,4,FALSE,TRUE,sour,12,"Mix juices, syrups and sour cream in a shaker.;Serve in a glass with an ananas slice and a piece of orange}}"
6-recipe,Shot spice,Grenadine;tabasco sauce;vodka,FALSE,high,2,3,FALSE,FALSE,spicy,9,"In a small glass (about 4 cm in diameter and 5 cm high), add 3 mm grenadine syrup.;Add 4-6 drops of tabasco, then slowly pour 2-3 cm vodka (cold, preferably), not to mix the ingredients.;This cocktail is drunk ""cul-dry."" It feels relatively little alcohol initially because the grenadine is in the glass. After a few seconds, you feel the spiciness of Tabasco.}}"
7-recipe,Cocktail Martini,martini;citrus fruit;lemon,FALSE,low,2,3,TRUE,FALSE,none,300,Mix the liquids. Cut the lemon into chunks and add it. Serve chilled with ice.}}
8-recipe,Cocktail Sparkling Strawberry Lime (without alcohol),strawberry;sugar;Lime juice;Lemonade,TRUE,none,2,4,TRUE,TRUE,sweet,40,"Wash, remove stems fraises.Les mixer.Ajouter put in the lime juice and lemonade and sucre.Mixer.Verser mixer nouveau.Reserver refrigerate until serving time.;Here it is finished!;Enjoy it!}}"
9-recipe,Citrus cocktail without alcohol,Orange juice;lemon juice;strawberry,FALSE,none,2,3,TRUE,TRUE,sweet,11,Measure each of the ingredients and pour into a shaker. Shake well. Pour into a cocktail glass or champagne flute. Repeat the operation for each person.}}
10-recipe,Citrouillette (champagne cocktail),Noilly_Prat;champagne,FALSE,high,2,2,FALSE,FALSE,none,12,Pour Nouilly Prat in a glass and add Champagne fresh.;Taste is excellent.}}
11-recipe,Cocktail Grand Paradis,cognac;Apricot juice;champagne,FALSE,high,3,3,FALSE,TRUE,none,16,Mix in a shaker cognac and apricot juice.;Pour into a glass (tulip type) and fill with champagne.}}
12-recipe,Cocktail Red Lion,Whiskey;Creme de cassis;Benedictine;pastis;ice cube,FALSE,high,4,5,FALSE,FALSE,none,4,"Fill a shaker with ice, pour the different alcohols. Close and shake strongly few seconds.;Serve.}}"
13-recipe,Bacardi Cocktail,rum;grenadine;lemon juice,FALSE,high,3,3,FALSE,TRUE,none,42,"1. Put the rum, grenadine syrup and lemon juice in a shaker.Shake.}}"
14-recipe,Cocktail Balalaika,vodka;cointreau;lemon juice;lemon;ice cube,FALSE,high,3,5,TRUE,TRUE,none,10,Pour alcohol and lemon juice in a tall glass over ice.;Garnish with lemon slices.}}
15-recipe,Raifortissimo,apple juice;lemon juice;wasabi;kiwi fruit;ice cube,FALSE,none,2,5,TRUE,TRUE,spicy,8,"Mix the kiwi fruit, add the juices, wasabi and ice cube.;Serve in a glass.}}"
16-recipe,Cocktail Cranberry-orange,Cranberry juice;Orange juice;raspberry;lemon;lemon juice,FALSE,none,2,5,TRUE,TRUE,none,35,Mix the two juices.;Add the raspberries and lemon juice.;Mix everything pureed.;Serve chilled or with ice cubes.;Decorate your glasses with a slice of lemon or orange.;To your health!}}
17-recipe,Pina Colada (cocktail),malibu rum;light whipping cream;Pineapple juice;white rum;ice cube,FALSE,high,2,5,FALSE,TRUE,none,40,Put all ingredients except ice cubes in a blender and run at high speed for about 30 seconds.;Put ice cubes in glasses and pour over the cream obtained.}}
18-recipe,Coconut cocktail lovers,coconut;white rum,FALSE,high,1,2,TRUE,FALSE,none,10,"Pierce the coconut in 3 places on the top, and drain the water inside.;Completely fill white rum.;Plug the holes by cropping a cork, and seal by pouring wax candle dessus.Ranger standing in the refrigerator for 3 weeks.}}"
19-recipe,Cocktail appetizer,dry white wine;sugar;lemon;orange;rum;sparkling water,TRUE,high,2,6,TRUE,FALSE,sweet,230,Mix all ingredients and serve chilled.}}
20-recipe,Porto Flip,Porto;cognac;egg;cinnamon;nutmeg;cane sugar syrup;ice cube,TRUE,high,2,7,FALSE,FALSE,sweet,6,"In a shaker, put alcohol and cane syrup. Then add the spices. Mix with a long spoon.;Add egg and ice cubes. Close the shaker and mix.;Serve in a cocktail glass, saupodrer a little cinnamon.;It can do so only with port too.}}"
21-recipe,Shoot up,Mangalore;sparkling water;apricot,FALSE,none,3,3,FALSE,FALSE,sweet,12,Mix syrup and mangalore.;Then fill the glass by fresh carbonated water.}}
22-recipe,The kiss of Smurfette,vodka;Blue curacao;Lemonade;Banana juice,FALSE,low,4,4,FALSE,TRUE,sweet,14,Pour all ingredients in order in a martini glass or cocktail and serve very very cool!}}
23-recipe,Cocktail Praslin Islands,Manguo juice;Pineapple juice;Passion fruit juice;Lime juice;sugar,TRUE,none,4,5,FALSE,TRUE,sweet,2080,The whole is mixed in a bottle.;Shaken well for about 20 seconds and put in the fridge for it to be chilled before serving.;Serve in tall glasses and cocktail with pretty colored straws.}}
24-recipe,Arranged with apple rum,rum;apple juice;cane sugar;cinnamon,TRUE,low,3,4,FALSE,TRUE,sweet,135,"In a bottle, mix 25 cl dark rum with a liter of apple juice and complete with a shot of sugar cane.;Flavored with cinnamon or other according to your tastes, then let stand at least one day for the maceration is complete.}}"
25-recipe,Gin fizz easy,Gin;lime;cane sugar;sparkling water,TRUE,low,3,4,FALSE,TRUE,sweet,14,"Put all ingredients in a shaker and shake vigorously until the walls of the shaker to fog.;Pour the contents of the shaker into the two glasses with soda water and then lie down.;Serve chilled with crushed ice, a straw and a slice of lime.}}"
26-recipe,Cider cocktail,Hard cider;Creme de cassis;cointreau,FALSE,high,3,3,FALSE,FALSE,sweet,13,Mix cassis and Cointreau.;Keep cool all ingredients.;At the last minute add the cider.}}
27-recipe,Planter's Punch,dark rum;lemon juice;orange juice;syrup;Grenadine,FALSE,low,5,5,FALSE,TRUE,sweet,19,"Pour the rum, grenadine and lemon juice into a mixing glass filled with ice cubes.;Shake well.;Strain into a highball glass filled with ice cubes.;Add the grenadine.}}"
28-recipe,Coconut cocktail,vodka;rice milk;coconut;ice cream;cane sugar;ice cube,TRUE,low,4,6,TRUE,FALSE,sweet,340,Put everything in a blender and enjoy.}}
29-recipe,Walnut cocktail coconut coffee,malibu rum;coconut milk;Tamarin juice;coffee;cane sugar syrup;ice cube,TRUE,low,5,6,FALSE,TRUE,sweet,22,Place ingredients in a shaker. Shake vigorously by firmly with both hands the shaker and plugs.;Pour into pretty glasses cocktail.Decorer this preparation hazelnut powder.}}
30-recipe,Rinse drops (cocktail),apple cider;cognac;Creme de cassis;ice cube,FALSE,high,3,4,FALSE,FALSE,none,150,"In a large bowl, start by putting the creme de cassis, then add the brandy and finally the bottle of cider.;Add last ice for the drink fresh.}}"
31-recipe,Cocktail MAP,White martini;Angostura bitter;grapefruit juice,FALSE,high,2,3,FALSE,TRUE,none,5,"Put the flutes in the freezer.;Squeeze the grapefruit or open the bottle or carton ...;Pour one third martini, two thirds grapefruit juice 1 dash Angostura.;For the decoration: put a twist on each glass bread with poppy seeds and sugar baked golden but steeped in love and of course ... MAP}}"
32-recipe,Mojito with Basil,white rum;sparkling water;cane sugar syrup;brown sugar;lime;anise basil;ice cube,TRUE,low,3,7,TRUE,FALSE,sweet,20,"Cut a slice of Lime and settle to the bottom of the glass cocktail.Mettre ice in a clean cloth, and mash with a marteau.Couper basil leaves into small pieces and mix with ice pilee.Remplir glass crushed / basil ice cream 2 tiers.Ajouter 5 cl of rum, 5 cl of liquid cane sugar and the juice of the remaining lime, then fill with water gazeuse.Saupoudrer brown sugar.}}"
33-recipe,Cocktail orchard,apricot liqueur;apple liqueur;Pear juice;ice cube,FALSE,low,3,4,FALSE,TRUE,none,21,"In a large cocktail glass, install the 3 ice cubes.;Pour each ingredient in the order listed above.;Mix well and enjoy!}}"
34-recipe,Cocktail Pomenas,grapefruit juice;Pineapple juice;apple juice;raspberry;ice cube,FALSE,none,3,5,TRUE,TRUE,none,60,"Pour the juice into a jug, add the raspberries to give color and ice to cool.;Serve chilled.}}"
35-recipe,Cocktail KidiCana,apple juice;Currant syrup;lemongrass;ginger;ice cube,FALSE,none,2,5,FALSE,TRUE,sweet,6,Chop the lemongrass.;Place all ingredients in a shaker.;Add half of crushed ice.;Shake and pour into a glass filled the rest of crushed ice.;To your health!}}
36-recipe,Cocktail paradise,Orange juice;vodka;pisang ambon;cane sugar syrup,TRUE,low,4,4,FALSE,TRUE,sweet,18,"Gather the ingredients, except the Pisang ambon in a shaker. Hit.;Pour into a cocktail glass, then add Pisang.;Serve chilled.}}"
37-recipe,Cava Cocktail Vodka Lemon,cava;vodka;lime;lime zest,FALSE,high,3,4,TRUE,FALSE,none,14,Mix the vodka and lime syrup.;Pour Cava in a flute.;Gently stir the mixture vodka lime.;Garnish with lime zest.}}
38-recipe,Aperol Spritz: Italian sparkling cocktail,Prosecco;soda water;ice cube;blood orange,FALSE,high,2,4,TRUE,FALSE,none,13,Prepare the desired amount of cocktail in the proportions!;Top with ice and a piece of orange (blood if possible).;Health!}}
39-recipe,Limoncello cocktail,orange;Amber rum;lemon liqueur;ice cube,FALSE,high,1,4,TRUE,FALSE,none,5,"Pour the dark rum in the glass.;Press the 2 oranges and add the juice rum.;Add the line of Limoncello, stir and add a few ice cubes.;It's ready!}}"
