drink_name,percentage,alcohol_content,no_of_liquid_ingredients,no_of_ingredients
Ti'punch,0.75,high,2,3
Exotic Cocktail passion fruit,0.009575923,low,4,5
Builder,0.009575923,,0,4
Raspberry cocktail,0.611111111,high,4,6
Cocktail for lovers,0.716981132,high,5,6
Coconut kiss,0,none,4,4
Shot spice,0.666666667,high,2,3
Cocktail Martini,0.333333333,low,2,3
Cocktail Sparkling Strawberry Lime (without alcohol),0,none,2,4
Citrus cocktail without alcohol,0,none,2,3
Citrouillette (champagne cocktail),1,high,2,2
Cocktail Grand Paradis,0.6875,high,3,3
Cocktail Red Lion,1,high,4,5
Bacardi Cocktail,0.571428571,high,3,3
Cocktail Balalaika,0.6,high,3,5
Raifortissimo,0,none,2,5
Cocktail Cranberry-orange,0,none,2,5
Pina Colada (cocktail),0.5,high,2,5
Coconut cocktail lovers,1,high,1,2
Cocktail appetizer,1,high,2,6
Porto Flip,1,high,2,7
Shoot up,0,none,3,3
The kiss of Smurfette,0.285714286,low,4,4
Cocktail Praslin Islands,0,none,4,5
Arranged with apple rum,0.185185185,low,3,4
Gin fizz easy,0.428571429,low,3,4
Cider cocktail,1,high,3,3
Planter's Punch,0.210526316,low,5,5
Coconut cocktail,0.088235294,low,4,6
Walnut cocktail coconut coffee,0.090909091,low,5,6
Rinse drops (cocktail),1,high,3,4
Cocktail MAP,1,high,2,3
Mojito with Basil,0.25,low,3,7
Cocktail orchard,0.428571429,low,3,4
Cocktail Pomenas,0,none,3,5
Cocktail KidiCana,0,none,2,5
Cocktail paradise,0.222222222,low,4,4
Cava Cocktail Vodka Lemon,0.857142857,high,3,4
Aperol Spritz: Italian sparkling cocktail,0.615384615,high,2,4
Limoncello cocktail,1,high,1,4
Cuban Mojito,1,,0,6
Delicious tropical cocktail,0.776699029,high,5,6
Cocktail champanise,1,high,2,5
Negroni Cocktail,0.206349206,low,4,6
Cocktail fruit juice for children,0.206349206,,0,6
Creole cream (cocktail),0.666666667,high,4,4
Fruit cocktail with lime,0,none,2,5
White russian cocktail,0.625,high,3,4
Margarita,0.8,high,3,4
Rainbow,0.277777778,low,4,4
Cocktail Sundays snow,0.277777778,,0,4
Ginger cosmo,0.555555556,high,4,5
Pink cocktail whiskey,0.25,low,2,5
Cocktail grapefruit mint,0.25,,0,4
Fruit cocktail,0,none,1,6
Champagne cocktail mint lime,1,high,1,5
Bloody mary,0.25,low,4,7
Tequila sunrise,0.3,low,3,3
Cocktail drink with raspberries,1,high,2,4
Cocktail cardinal,1,high,3,4
Cocktail anapomise,0.025316456,low,5,5
Daiquiri,0.571428571,high,3,4
Sangria without alcohol,0,none,4,5
Cocktail Tropical Sunshine,0,none,3,5
Light cocktail martini,0.5,high,2,5
Screwdriver,0.25,low,2,2
Italian prosecco cocktail,0.348837209,low,4,5
Virevoltage,0.142857143,low,5,5
Lemon-mint cocktail (without alcohol),0,none,3,6
Champagne cocktail and sake,1,high,2,3
Frosty lime,0,none,2,4
Cocktail Saltwater,0.486486486,low,5,6
Grand Marnier sour (cocktail),0.5,high,2,2
Amber apple cocktail,0.6875,high,4,10
Caipirinha,1,high,1,4
Whisky Cocktail Cranberries,0.333333333,low,2,2
Aquarium,1,high,4,5
Melon cocktail bubbles,0.909090909,high,2,5
Le vandetta,0,none,3,4
Pink 3x6 (cocktail),0,none,3,7
Mojito,0.375,low,2,6
Cocktail Pomabricotine,0.022556391,low,5,5
EssaiCCC,0.022556391,,0,3
Baywatch (cocktail of the colors of the famous swimwear ... or almost),0.25,low,3,4
Bora bora,0,none,4,5
Cocktail de fruits,0,none,1,6
Cocktail latte,0.2,low,4,5
Cocktail kumquat and lychee,0,none,2,6
Mexican cocktail in my way,0.148148148,low,4,6
Fraisalia cocktail (without alcohol),0,none,3,5
Sweet pink cocktail,0,none,3,7
Red cocktail,0.333333333,low,4,4
Cocktail Sweet Melon,0,none,3,5
Champagne cocktail,1,high,2,4
Cocktail variant (based rose),0.533533534,high,3,3
Double show,0.4,low,4,4
Hulk (cocktail),0.666666667,high,3,3
Cocktail mexicanos,0.444444444,low,3,3
Black velvet,1,high,2,2
Champagne soup (cocktail),0.838383838,high,3,5
Cuba libre,0.285714286,low,2,3
Tutti cocktail,0.333333333,low,4,5
Pina colada,0.272727273,low,4,5
Strawberry Margarita,1,high,2,6
Pink cocktail pink grapefruit,0.681818182,high,3,3
"Bacardi cocktail, grenadine, lemon",0.571428571,high,3,3
MTS Cocktail,0.5,high,4,4
Madras Cocktail,0.307692308,low,3,3
