DrinkID,alcohol,Fruit,Fruit Juice,Syrup,ice,Sugar,Other ingredians,Recipe
Ti'punch,white rum,lime,,cane,,,,"Wash a lime, remove top and bottom, and thinly slice into half rings. Add lime pieces to glass and crush with the flat end of a barspoon.Add rum and cane syrup, top with broken ice, and muddle together. Add a short straw, and serve.}}"
Exotic Cocktail passion fruit,Blue curacao,,lemon juice,passion fruit,ice cube,,Lemonade,"In a shaker, combine syrup curacao syrup, passion fruit and lemon juice.Shake well and pour the mixture into a container.Stir liter of lemonade and mix well.Stir liter of lemonade and mix well.Add 5 ice cubes and serve.}}"
Builder,,Lemon,,,ice cube,sugar,cucumber,"Mix a cucumber in a centrifuge, put the lemon juice, the sugar and the icebergs.Serve in a glass decorated of a lemon slice}}"
Raspberry cocktail,kirsch,"lemon, raspberry",,Lemonade,,cane sugar,Cremant,"The day before: put the raspberries, lemon slices, 3 glasses of cane sugar syrup, kirsch and half lemonade in a large container and marinate in the fridge.
Put the rest of lemonade and bottles of sparkling wine in the fridge.Just before serving:Added to the preparation the day before the rest of lemonade and bottles of Cremant. Taste and add sugar cane if necessary because certain sound more bitter than other Cremants.}}
"
Cocktail for lovers,"cointreau,cognac,champagne",raspberry,Orange juice,grenadine,,,,"Mix all ingredients (in advance if possible put in the fridge) with a spoon or shaker.
Add just before serving raspberries (so they keep their consistency) or one hour before if you require well soaked.}}
12 cl Orange juice,18 cl cointreau,10 cl cognac,3 cl grenadine,10 cl champagne,10  raspberry"
Coconut kiss,,,"pineapple juice,orange juice",coconut syrup,,,sour cream,"3 cl pineapple juice,4 cl orange juice,2 cl coconut syrup,3 cl sour cream: Mix juices, syrups and sour cream in a shaker.Serve in a glass with an ananas slice and a piece of orange}}"
Shot spice,vodka,,,Grenadine,,,tabasco sauce,"3 cl  Grenadine,tabasco sauce,6 cl  vodka
In a small glass (about 4 cm in diameter and 5 cm high), add 3 mm grenadine syrup.
Add 4-6 drops of tabasco, then slowly pour 2-3 cm vodka (cold, preferably), not to mix the ingredients.
This cocktail is drunk ""cul-dry."" It feels relatively little alcohol initially because the grenadine is in the glass. After a few seconds, you feel the spiciness of Tabasco.}}
"
Cocktail Martini,martini,"citrus fruit, lemon",,,,,,"1 l martini,2 l citrus fruit,1  lemon
Mix the liquids. Cut the lemon into chunks and add it. Serve chilled with ice.}}"
Cocktail Sparkling Strawberry Lime (without alcohol),,strawberry,Lime juice,Lemonade,,Sugar,,"400 g strawberry,2 tsp sugar,10 cl Lime juice,30 cl Lemonade
Wash, remove stems fraises.Les mixer.Ajouter put in the lime juice and lemonade and sucre.Mixer.Verser mixer nouveau.Reserver refrigerate until serving time.
Here it is finished!
Enjoy it!}}"
Citrus cocktail without alcohol,,strawberry,Orange juice,lemon juice,,,,"6 cl Orange juice,5 cl lemon juice,2  strawberry
Measure each of the ingredients and pour into a shaker. Shake well. Pour into a cocktail glass or champagne flute. Repeat the operation for each person.}}
"
Citrouillette (champagne cocktail), Noilly Prat,,,,,,champagne,"4 cl  Noilly Prat,8 cl  champagne
Pour Nouilly Prat in a glass and add Champagne fresh.
Taste is excellent.}}"
Cocktail Grand Paradis,cognac,,Apricot juice,,,,champagne,"1 cl cognac,5 cl Apricot juice,10 cl champagne
Mix in a shaker cognac and apricot juice.
Pour into a glass (tulip type) and fill with champagne.}}"
Cocktail Red Lion,"Whiskey, Benedictine,pastis",,,,ice cube,,Creme de cassis,"2 cl Whiskey,2 cl Creme de cassis,0.5 cl Benedictine,0.5 cl pastis,1  ice cube
Fill a shaker with ice, pour the different alcohols. Close and shake strongly few seconds.
Serve.}}"
