recipe_index,drink_name,ingredients_list, sugar_included,alcohol_content,no_of_liquid_ingredients,no_of_ingredients,fruit,juice,flavour,preparations,alcohol,Fruit,Fruit Juice,Syrup,ice,Sugar,Other ingredians
0-recipe,Ti'punch,white rum;syrup;lime,FALSE,high,2,3,TRUE,FALSE,sweet,"Wash a lime, remove top and bottom, and thinly slice into half rings. Add lime pieces to glass and crush with the flat end of a barspoon.Add rum and cane syrup, top with broken ice, and muddle together. Add a short straw, and serve.}}",white rum,lime,0,cane,0,0,0
1-recipe,Exotic Cocktail passion fruit,Lemonade;Blue curacao;passion fruit syrup;lemon juice;ice cube,FALSE,low,4,5,FALSE,TRUE,sweet,"In a shaker, combine syrup curacao syrup, passion fruit and lemon juice.Shake well and pour the mixture into a container.Stir liter of lemonade and mix well.Stir liter of lemonade and mix well.Add 5 ice cubes and serve.}}",Blue curacao,0,lemon juice,passion fruit,ice cube,0,Lemonade
2-recipe,Builder,cucumbers;lemon;sugar;ice cube,TRUE,0,0,4,TRUE,FALSE,sweet,"Mix a cucumber in a centrifuge, put the lemon juice, the sugar and the icebergs.Serve in a glass decorated of a lemon slice}}",0,Lemon,0,0,ice cube,sugar,cucumber
3-recipe,Raspberry cocktail,raspberry;cane sugar;kirsch;Lemonade;lemon;Cremant,TRUE,high,4,6,TRUE,FALSE,sweet,"The day before: put the raspberries, lemon slices, 3 glasses of cane sugar syrup, kirsch and half lemonade in a large container and marinate in the fridge. Put the rest of lemonade and bottles of sparkling wine in the fridge.Just before serving:Added to the preparation the day before the rest of lemonade and bottles of Cremant. Taste and add sugar cane if necessary because certain sound more bitter than other Cremants.}}",kirsch,"lemon, raspberry",0,Lemonade,0,cane sugar,Cremant
4-recipe,Cocktail for lovers,Orange juice;cointreau;cognac;grenadine;champagne;raspberry,FALSE,high,5,6,TRUE,TRUE,sweet,"Mix all ingredients (in advance if possible put in the fridge) with a spoon or shaker. Add just before serving raspberries (so they keep their consistency) or one hour before if you require well soaked.}} 12 cl Orange juice,18 cl cointreau,10 cl cognac,3 cl grenadine,10 cl champagne,10  raspberry","cointreau,cognac,champagne",raspberry,Orange juice,grenadine,0,0,0
5-recipe,Coconut kiss,pineapple juice;orange juice;coconut;sour cream,FALSE,none,4,4,FALSE,TRUE,sour,"3 cl pineapple juice,4 cl orange juice,2 cl coconut syrup,3 cl sour cream: Mix juices, syrups and sour cream in a shaker.Serve in a glass with an ananas slice and a piece of orange}}",0,0,"pineapple juice,orange juice",coconut syrup,0,0,sour cream
6-recipe,Shot spice,Grenadine;tabasco sauce;vodka,FALSE,high,2,3,FALSE,FALSE,spicy,"3 cl  Grenadine,tabasco sauce,6 cl  vodka In a small glass (about 4 cm in diameter and 5 cm high), add 3 mm grenadine syrup. Add 4-6 drops of tabasco, then slowly pour 2-3 cm vodka (cold, preferably), not to mix the ingredients. This cocktail is drunk ""cul-dry."" It feels relatively little alcohol initially because the grenadine is in the glass. After a few seconds, you feel the spiciness of Tabasco.}}",vodka,0,0,Grenadine,0,0,tabasco sauce
7-recipe,Cocktail Martini,martini;citrus fruit;lemon,FALSE,low,2,3,TRUE,FALSE,,"1 l martini,2 l citrus fruit,1  lemon Mix the liquids. Cut the lemon into chunks and add it. Serve chilled with ice.}}",martini,"citrus fruit, lemon",0,0,0,0,0
8-recipe,Cocktail Sparkling Strawberry Lime (without alcohol),strawberry;sugar;Lime juice;Lemonade,TRUE,none,2,4,TRUE,TRUE,sweet,"400 g strawberry,2 tsp sugar,10 cl Lime juice,30 cl Lemonade Wash, remove stems fraises.Les mixer.Ajouter put in the lime juice and lemonade and sucre.Mixer.Verser mixer nouveau.Reserver refrigerate until serving time. Here it is finished! Enjoy it!}}",0,strawberry,Lime juice,Lemonade,0,Sugar,0
9-recipe,Citrus cocktail without alcohol,Orange juice;lemon juice;strawberry,FALSE,none,2,3,TRUE,TRUE,sweet,"6 cl Orange juice,5 cl lemon juice,2  strawberry Measure each of the ingredients and pour into a shaker. Shake well. Pour into a cocktail glass or champagne flute. Repeat the operation for each person.}} ",0,strawberry,Orange juice,lemon juice,0,0,0
10-recipe,Citrouillette (champagne cocktail),Noilly_Prat;champagne,FALSE,high,2,2,FALSE,FALSE,,"4 cl  Noilly Prat,8 cl  champagne Pour Nouilly Prat in a glass and add Champagne fresh. Taste is excellent.}}", Noilly Prat,0,0,0,0,0,champagne
11-recipe,Cocktail Grand Paradis,cognac;Apricot juice;champagne,FALSE,high,3,3,FALSE,TRUE,,"1 cl cognac,5 cl Apricot juice,10 cl champagne Mix in a shaker cognac and apricot juice. Pour into a glass (tulip type) and fill with champagne.}}",cognac,0,Apricot juice,0,0,0,champagne
12-recipe,Cocktail Red Lion,W       hiskey;Creme de cassis;Benedictine;pastis;ice cube,FALSE,high,4,5,FALSE,FALSE,,"2 cl Whiskey,2 cl Creme de cassis,0.5 cl Benedictine,0.5 cl pastis,1  ice cube Fill a shaker with ice, pour the different alcohols. Close and shake strongly few seconds. Serve.}}","Whiskey, Benedictine,pastis",0,0,0,ice cube,0,Creme de cassis
13-recipe,Bacardi Cocktail,rum;grenadine;lemon juice,FALSE,high,3,3,TRUE,TRUE,,"24 cl rum,6 cl Grenadine syrup,12 cl lemon juice1. Put the rum, grenadine syrup and lemon juice in a shaker.Shake.}}","rum, grenadine",,lemon juice,,,0,0
14-recipe,Cocktail Balalaika,vodka;cointreau;lemon juice;lemon;ice cube,FALSE,high,3,5,TRUE,TRUE,,"4 cl vodka,2 cl cointreau,4 cl lemon juice,1 lemon,2 ice cubesPour alcohol and lemon juice in a tall glass over ice.Garnish with lemon slices.}}","vodka, cointreau",lemon,lemon juice,,ice cube,0,0
15-recipe,Raifortissimo,apple juice;lemon juice;wasabi;kiwi fruit;ice cube,FALSE,none,2,5,TRUE,TRUE,spicy,"5 cl apple juice,3 cl green lemon juice,10 g wasabi,1 kiwi fruit,3 ice cubesMix the kiwi fruit, add the juices, wasabi and ice cube.Serve in a glass.}}",,kiwi fruit,"apple juice, lemon juice",,ice cube,0,wasabi
16-recipe,Cocktail Cranberry-orange,Cranberry juice;Orange juice;raspberry;lemon;lemon juice,FALSE,none,2,5,TRUE,TRUE,,"25 cl Cranberry juice,10 cl Orange juice,150 g raspberry,2  lemon,1 csp lemon juiceMix the two juices.Add the raspberries and lemon juice.Mix everything pureed.Serve chilled or with ice cubes.Decorate your glasses with a slice of lemon or orange.To your health!}}",,"raspberry, lemon","Cranberry juice, Orange juice, lemon juice",,,0,0
17-recipe,Pina Colada (cocktail),malibu rum;light whipping cream;Pineapple juice;white rum;ice cube,FALSE,high,2,5,TRUE,TRUE,,"125 g malibu rum,150 g light whipping cream,20 cl Pineapple juice,20 cl white rum,ice cubesPut all ingredients except ice cubes in a blender and run at high speed for about 30 seconds.Put ice cubes in glasses and pour over the cream obtained.}}","malibu rum, white rum",,Pineapple juice,,ice cube,0,light whipping cream
18-recipe,Coconut cocktail lovers,coconut;white rum,FALSE,high,1,2,TRUE,TRUE,,"1  coconut,10 cl  white rumPierce the coconut in 3 places on the top, and drain the water inside.Completely fill white rum.Plug the holes by cropping a cork, and seal by pouring wax candle dessus.Ranger standing in the refrigerator for 3 weeks.}}",white rum,coconut,,,,0,0
